NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1250,235962.932019162,178149.97552615078,469505.672152084,577271.6959159386,1165512.831711211,864599.3048928466,536884.013094617,286163.3848462716,248833.6338262974,727662.4910854149,1112372.695928842,660253.0088741211,1113552.105528351,480726.5731655807,229020.81733211578,641830.0269703346,626898.6415286501,89158.63345038674,917749.5052692558,666515.2176213965,550744.0186979932,871753.3484658719,545226.1471668032,60610.991523136756,658154.5087839178,189839.0253190508,591160.8708415038,516657.5008598453,209782.54492416768,430366.61678177107
2275,162023.328704098,178149.97552615078,469505.672152084,348269.5571215274,752478.059183241,213185.9823051954,495806.4650042116,79095.22795779734,137172.7588174434,323107.07770452,376067.3704042518,646685.9691885002,300537.5035043644,215298.7813376213,229020.81733211578,506457.4461972082,467348.3322284726,89158.63345038674,839328.0156181579,238549.9937455925,382521.1580920425,111806.0266626651,114395.3539877367,43718.330797432485,277283.97295563674,56430.67280767675,143181.1701749092,202344.4714951546,96150.3365004701,75161.81917018138
4143,162023.328704098,25504.621873510718,135201.029232513,348269.5571215274,90558.76456395899,179588.1944832049,167466.7345233681,79095.22795779734,137172.7588174434,111214.70243727279,86290.96013936827,220908.14261754171,300537.5035043644,167268.3541105491,41560.80260164438,8108.802811568252,117793.7286921075,89158.63345038674,210132.60750495622,134985.5993107765,160278.4317206593,111806.0266626651,87019.11233831389,43718.330797432485,199189.80112969852,44459.87937794131,143181.1701749092,202344.4714951546,96150.3365004701,75161.81917018138
7542,46945.118249069026,9492.279121811576,31202.756697176137,72735.24538655982,40732.59447812376,48911.077618806776,36609.056228423724,79095.22795779734,23477.096753812817,27273.44056911578,34400.93935505711,21650.228597883317,63091.99079841813,7398.043076586819,26626.673130619467,5895.379089502944,85630.4447040308,55028.86720204735,68536.64313849066,56966.139707588925,31626.455591222115,13604.52927510978,60103.42033944638,33060.3730616715,22735.73090577288,13796.35470838361,50584.337207535944,42877.515142025695,66563.49324155558,28413.619311824918
13732,6635.610333327917,4683.08925440452,11119.192819482929,5467.753014964148,1552.172025435273,4348.38812809664,3747.8887101155437,2827.5658559533413,1872.975798285515,3872.078928329212,7299.031938102526,4421.048449371116,7420.3202074368855,5333.578001719196,7019.148440634041,1443.676822409458,2240.556316936489,4479.905336096473,6485.706804646834,8189.722660980122,5793.217314488821,5935.449965419215,3647.3168521673406,1321.823539388719,10017.81780868308,5490.2282839491945,1933.6322235030398,6789.051305983452,14218.826432496968,3660.0381874522295
25000,426.1856290222066,608.1999558933817,713.8304016271222,177.9247447531598,760.5634746615951,859.6144986236181,467.97168583095214,264.63998414737443,448.097373825748,795.1369025298909,324.4573786512387,755.9230118937317,296.4683942557917,974.9841705896542,393.4465432525685,888.8782406607129,917.0725057944933,388.46202470733317,774.1342836104914,655.2402901945716,387.34491579392534,581.6411183780865,518.6738267384138,500.46017886482423,481.06770973177214,176.5682186026315,447.449659661831,895.8792509775467,294.4204759126924,804.6250156459605
45514,57.28748069095764,33.24370093924085,39.93034014281534,68.23795720246629,69.3581652825751,38.05870824345243,62.975229119116875,27.87037455869518,44.37075422818907,55.858798811591214,51.987262085529444,40.90376599597789,87.49405703833851,41.72145459909665,79.52849128167418,29.6845811383821,39.78396119952322,63.31363292825586,73.3258061241695,45.92763768684199,38.18560854596194,45.577072897556256,31.38923408011578,44.82790518578508,31.80959245527538,43.496036762267074,50.869715140564956,50.97404006444913,71.79146769731733,95.23762486220177
82861,12.776191915537538,12.44232769618657,12.30154326763386,13.56091178879774,12.597498035114091,13.198507446426671,12.34883694541031,14.209087903347152,14.129466486460391,12.1405440194676,15.726958068911019,13.23320506329037,14.47399810285947,13.69348076637311,13.434244677501061,12.798635971376369,14.304756099462788,12.47153624222733,12.211456760810051,15.461420783543188,11.348115340972528,12.520154070086848,11.34617810382861,13.42767166301223,13.860857549401322,12.390788456426439,13.71610053710083,10.57374944461253,15.65421942700368,14.16900066934977
150854,9.362445715242528,9.554098914715953,9.554854608824144,8.247742055717481,9.390436537669757,7.9395538215153465,9.083367593261755,7.258680320669554,7.834541764619188,8.488174547796007,9.44242503950295,7.743218012280067,7.924995790912818,8.941529691583355,8.441300107935376,7.728812801423827,8.078680801171231,9.006674102878831,8.326485377986955,8.157596300882688,8.694818554336052,9.202286331772484,7.779050979473822,8.156827693718242,9.007390803363023,8.99350320156168,8.634254067571419,7.499630954007215,9.047917775102633,9.131300003058868
274640,5.7484985504486295,6.777287046081482,6.690882442052724,6.730536825415128,7.0395086519517935,6.7517680290634425,6.8784777804803525,6.115918338585742,6.233118305468906,5.956632860541504,7.093670497835093,5.7585556714491295,6.752387615461429,7.1851784426123695,6.659896669071259,6.318670230192537,7.066272995283952,7.3056055154945625,6.996942578812423,7.512828948251354,7.621792051402508,7.041824343592224,7.439173414865081,5.993754986041949,7.293589700431994,7.608657520013367,7.370060034490733,6.6076371186056795,6.871228475117505,7.916474286997982
500000,4.0762455644287465,4.714367672919252,3.56740898365706,4.7830717542560715,3.498751183437435,5.214685666463994,4.4502654847415215,4.156063238072194,4.1098724126197785,4.454088780237043,4.086057337503462,3.6549079329706733,4.031662098351261,4.245676951911719,3.3201252309788734,4.483038818632623,4.453479257892468,4.1847681525744065,3.968991493750536,4.31927725591504,2.8033115869136505,3.3726419270894885,4.685948883651463,4.1222907397636845,4.380705266788482,3.15357587907215,3.374685117132913,3.7471308254082483,4.075031274554931,4.008273783767891
910282,2.298245966059767,2.236533611156347,2.5709678392768183,2.7682641980989047,2.488027350332459,2.321895360452572,2.2976238595074387,2.385311166664906,2.606766279691101,2.5459107514614057,2.3716321734675603,2.674703390900504,2.332496708851295,2.476733732969251,2.5118467912589044,2.496057846429721,2.478514379198714,2.6531043553907243,2.2439106485048796,2.363531818455613,2.236118153935422,2.4631716919218434,2.6929897416639514,2.49733662970948,2.2996680289629694,2.352674484205181,2.347558789877667,2.328841829354133,2.233040812154059,2.359102504750354
1657227,1.5871302837413168,1.5801155253677732,1.572910286519345,1.587416968135358,1.53143509882193,1.604666154353481,1.670286672945849,1.626560764311535,1.589396243908368,1.503652557634041,1.428126258130078,1.70443616711168,1.522419795328005,1.4951300286909368,1.7316000620844532,1.671282434037039,1.7524965081211117,1.814519797831736,1.617285633421488,1.5290830053907032,1.397435802595282,1.6202859192767392,1.500868224592978,1.6563542570256689,1.660304328178654,1.5892752999843651,1.702515442412732,1.556868624033086,1.5572016745024941,1.5785007334541208
3017088,0.9289712205563774,1.090764384935937,0.9067127402868208,0.9048650112197264,0.9645975256635212,0.9585927904131496,0.8512962363506631,0.7567662528413166,1.060190922102038,0.7933589363030933,0.8972784465095174,1.0298765430932242,0.9823108965158552,1.035573639680706,1.0244811978047892,1.058323482031938,0.9824442524618462,1.033516946148438,1.037852502531905,0.8100678658809102,0.9593512819919852,0.9605694019915064,1.0883470503179071,0.9134586052678059,0.94083266814755,0.991064256602158,1.042952690666425,1.1336698316385991,0.9230654229072571,0.8632591102684728
5492802,0.6379639784058782,0.7784384537401365,0.6492305557083,0.7453691043742765,0.7537152645013521,0.7334123399330109,0.7051365098352562,0.6610095204246136,0.5849833023696647,0.6567597360872242,0.753980187627576,0.6909675187448556,0.6936610737782303,0.7812401624953509,0.6480715322541073,0.6861530562850929,0.7335954204609152,0.7638462776171764,0.721579017866361,0.5591338309936873,0.6438994256941442,0.5967309268626195,0.6914762623664501,0.7240263612202398,0.7056043856821361,0.6526121299075385,0.7113434701991537,0.6080654420818519,0.7085285185576141,0.6070896869089211
10000000,0.4945181820269227,0.4175048147940288,0.4780228939489461,0.5148199523011954,0.5014866816500216,0.5658257997947658,0.4791595601441259,0.5590562182030681,0.4352617647414263,0.4836774925765894,0.5278682545106221,0.4546658459139508,0.4161148233031327,0.4560087746747286,0.5332646357671821,0.55974988640628,0.5131576066041816,0.5029376773686636,0.5626073662267572,0.5321502476017486,0.4399981631415812,0.4998864680715087,0.4632963845481299,0.5117332494912716,0.4703691367146803,0.4834726650869925,0.46908633659836607,0.5343531418975545,0.5608725349534325,0.5033746003307442
